from,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138
31,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,1,0,1,4,1,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
32,0,6,1,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,0,0,0,0,0,7,0,0,0,4,0,5,1,3,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,8,1,0,2,0,2,7,2,1,1,27,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0
33,1,329,32,216,47,1,1,1,1,23,1,0,1,13,46,1,30,1,6,0,14,14,691,4,26,1,1,0,410,1,2,4,0,1,283,34,168,2,387,29,1,11,9,2,0,11,12,28,9,8,1,55,8,5,3,1,0,16,33,216,460,64,14,89,0,96,402,101,48,78,1528,1,97,52,10,1,1,2,1,1,1,1,1,2,1,9,1,1,2,2,1,1,28,17,35,460,4,6,1,13,2,0,11,27,46,94,4,1,1,24,39,1,2,8,1,1,33,1,0,43,9,1,92,121,4,10,4,1,1,124,1,1,33,56,6,1,1,10
34,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1,432,42,283,62,1,1,2,1,30,1,0,1,16,60,1,40,1,8,0,18,19,908,5,34,1,1,0,539,1,3,5,283,1,0,44,220,3,508,38,1,14,11,2,0,14,16,37,12,11,2,73,10,7,3,2,0,21,44,283,604,85,18,116,0,127,528,133,63,103,2007,1,128,68,13,1,1,3,1,2,2,2,1,2,1,12,1,1,3,3,1,2,37,22,46,604,5,7,1,17,3,0,15,36,60,123,6,1,2,32,51,1,3,11,1,2,43,2,0,56,12,2,121,159,5,13,5,1,2,162,1,2,43,73,8,1,1,13
36,0,51,5,34,7,0,0,0,0,4,0,0,0,2,7,0,5,0,1,0,2,2,107,1,4,0,0,0,64,0,0,1,34,0,44,0,26,0,60,4,0,2,1,0,0,2,2,4,1,1,0,9,1,1,0,0,0,3,5,34,72,10,2,14,0,15,62,16,7,12,237,0,15,8,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,5,72,1,1,0,2,0,0,2,4,7,15,1,0,0,4,6,0,0,1,0,0,5,0,0,7,1,0,14,19,1,2,1,0,0,19,0,0,5,9,1,0,0,2
37,1,256,25,168,37,1,1,1,1,18,1,0,1,10,35,1,23,1,4,0,11,11,538,3,20,1,1,0,319,1,2,3,168,1,220,26,0,2,301,22,1,8,7,1,0,8,10,22,7,7,1,43,6,4,2,1,0,13,26,168,358,50,11,69,0,75,313,79,37,0,1189,1,76,40,8,1,1,2,1,1,1,1,1,1,1,7,1,1,2,2,1,1,22,13,27,358,3,4,1,10,2,0,9,21,36,73,3,1,1,19,30,1,2,6,1,1,25,1,0,33,7,1,72,94,3,8,3,1,1,96,1,1,26,44,5,1,1,8
38,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,2,0,3,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,1,0,1,4,1,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
39,1,591,57,387,84,1,1,3,1,41,1,0,1,23,82,1,54,1,10,0,25,25,1242,7,47,2,1,0,737,1,4,7,387,1,508,60,301,4,0,51,1,19,16,3,0,19,22,50,17,15,3,100,14,10,5,3,0,29,60,387,826,116,24,159,0,173,721,182,86,141,2744,1,175,93,18,1,1,4,1,3,3,3,1,3,1,17,2,1,4,4,1,3,50,30,63,826,7,10,1,23,4,0,20,49,82,169,8,1,3,43,70,1,4,15,1,3,59,3,0,77,16,3,166,217,7,18,7,1,3,222,1,3,59,100,11,1,1,18
40,0,44,4,29,6,0,0,0,0,3,0,0,0,2,6,0,4,0,1,0,2,2,92,0,3,0,0,0,55,0,0,1,29,0,38,4,22,0,51,0,0,1,1,0,0,1,2,4,1,1,0,7,1,1,0,0,0,2,4,29,61,9,2,12,0,13,53,13,6,10,203,0,13,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,5,61,1,1,0,2,0,0,1,4,6,12,1,0,0,3,5,0,0,1,0,0,4,0,0,6,1,0,12,16,1,1,1,0,0,16,0,0,4,7,1,0,0,1
41,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0,16,2,11,2,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,1,1,35,0,1,0,0,0,21,0,0,0,11,0,14,2,8,0,19,1,0,0,0,0,0,1,1,1,0,0,0,3,0,0,0,0,0,1,2,11,23,3,1,4,0,5,20,5,2,4,76,0,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,23,0,0,0,1,0,0,1,1,2,5,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,5,6,0,0,0,0,0,6,0,0,2,3,0,0,0,1
43,0,13,1,9,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,28,0,1,0,0,0,17,0,0,0,9,0,11,1,7,0,16,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,9,19,3,1,4,0,4,16,4,2,3,62,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,19,0,0,0,1,0,0,0,1,2,4,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,4,5,0,0,0,0,0,5,0,0,1,2,0,0,0,0
44,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,2,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,1,0,1,3,1,0,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,16,2,11,2,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,1,1,34,0,1,0,0,0,20,0,0,0,11,0,14,2,8,0,19,1,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,1,2,11,23,3,1,4,0,5,20,5,2,4,75,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,23,0,0,0,1,0,0,1,1,2,5,0,0,0,1,2,0,0,0,0,0,2,0,0,2,0,0,5,6,0,0,0,0,0,6,0,0,2,3,0,0,0,0
