Str_ID,Link_ID,From,Prov_Code,Str_Type,GPS_E,GPS_S,EndGPS_E,EndGPS_S,Obst_Type,Num_Spans,Over_Length,Span_Length,Clear_Soffit,Clear_Width,Walk_Width,Total_Width,Barrier_Height,Des_Type,Mat_Type,Surf_Type
BR072110:0005.64,R072110:0000.0,5643,Niassa,BRDG,35.8777351379,-15.1358156204,,,STRM,2,,,1.50,5.00,,,,CULV,CONC,CONC
BR072110:0007.75,R072110:0000.0,7747,Niassa,BRDG,35.8754882813,-15.117650032,,,STRM,2,,,1.50,5.00,,,,CULV,CONC,CONC
BR072110:0010.19,R072110:0000.0,10194,Niassa,BRDG,35.8765296936,-15.0968494415,,,STRM,2,,,1.50,5.00,,,,CULV,CONC,CONC
BR072110:0013.75,R072110:0000.0,13754,Niassa,BRDG,35.884262085,-15.0675392151,,,STRM,2,,,2.00,5.00,,,,CULV,CONC,CONC
BR072110:0014.54,R072110:0000.0,14543,Niassa,VENT,35.887752533,-15.0621747971,,,STRM,,,,1.00,6.00,,,,VENT,CONC,CONC
BR072210:0090.63,R072210:0000.0,90629,Niassa,BRDG,36.6632156372,-13.8575582504,,,STRM,2,7.00,3.5,2.50,6.00,,,,CULV,CONC,CONC
BR072210:0091.61,R072210:0000.0,91607,Niassa,BRDG,36.6560592651,-13.8521270752,,,STRM,2,8.00,4,2.50,5.50,,,,CULV,CONC,CONC
BR072210:0096.29,R072210:0000.0,96289,Niassa,BRDG,36.6225624084,-13.8257637024,,,STRM,2,10.00,5,2.50,5.50,,,,CULV,CONC,CONC
BR072210:0096.50,R072210:0000.0,96498,Niassa,BRDG,36.621471405,-13.8242530823,,,STRM,1,6.00,6,1.50,6.00,,,,CULV,CONC,CONC
BR072210:0102.80,R072210:0000.0,102797,Niassa,BRDG,36.5802688599,-13.786447525,,,STRM,1,5.50,5.5,2.50,3.50,,,,CULV,CONC,CONC
BR072210:0122.42,R072210:0000.0,122422,Niassa,BRDG,36.5785827637,-13.633690834,,,STRM,1,7.00,7,2.50,5.50,,,,BEAM,CONC,CONC
BR072210:0128.90,R072210:0122.4,128896,Niassa,BRDG,36.5869750977,-13.5799684525,,,STRM,1,8.00,8,2.50,4.00,,,,BEAM,CONC,CONC
BR072210:0131.33,R072210:0122.4,131328,Niassa,BRDG,36.5865440369,-13.5588102341,,,RIVR,2,16.00,8,3.50,4.00,,,,GIRD,CONC,CONC
BR072310:0018.73,R072310:0000.0,18730,Niassa,VENT,36.9636650085,-14.3804101944,,,STRM,2,20.00,10,2.00,4.50,,,,BEAM,CONC,CONC
BR072310:0061.81,R072310:0000.0,61810,Niassa,BRDG,37.2426490784,-14.4992055893,,,STRM,2,12.00,6,3.00,5.00,,,,BEAM,WOOD,WOOD
BR072310:0073.40,R072310:0000.0,73400,Niassa,VENT,37.3170318604,-14.4342536926,,,STRM,2,6.00,3,2.00,3.00,,,,BEAM,CONC,CONC
BR072310:0077.87,R072310:0000.0,77870,Niassa,VENT,37.3468017578,-14.4169807434,,,STRM,5,23.00,4,2.50,3.50,,,,BEAM,CONC,CONC
BR072310:0093.45,R072310:0000.0,93450,Niassa,VENT,37.42004776,-14.3041563034,,,STRM,2,6.00,3,2.00,4.00,,,,BEAM,CONC,CONC
